,rank,date,title,artist1,artist2,peak_pos,wks_chart,b_url,lyrics,g_url
0,1,2015-01-03,Blank Space,Taylor Swift,,1,8,https://www.billboard.com/charts/hot-100/2015-01-03,"Nice to meet you, where you been?I could show you incredible thingsMagic, madness, heaven, sinSaw you there, and I thought""Oh my God, look at that faceYou look like my next mistakeLove's a game, wanna play?""AyyNew money, suit and tieI can read you like a magazineAin't it funny? Rumors flyAnd I know you heard about meSo hey, let's be friendsI'm dyin' to see how this one endsGrab your passport and my handI can make the bad guys good for a weekendSo it's gonna be foreverOr it's gonna go down in flamesYou can tell me when it's over, mmIf the high was worth the painGot a long list of ex-loversThey'll tell you I'm insane'Cause you know I love the playersAnd you love the game'Cause we're young and we're recklessWe'll take this way too farIt'll leave you breathless, hmmOr with a nasty scarGot a long list of ex-loversThey'll tell you I'm insaneBut I've got a blank space, babyAnd I'll write your nameCherry lips, crystal skiesI could show you incredible thingsStolen kisses, pretty liesYou're the King, baby, I'm your QueenFind out what you wantBe that girl for a monthWait, the worst is yet to comeOh, no Screaming, crying, perfect stormsI can make all the tables turnRose garden filled with thornsKeep you second guessin' like""Oh my God, who is she?""I get drunk on jealousyBut you'll come back each time you leave'Cause, darling, I'm a nightmare dressed like a daydreamSo it's gonna be foreverOr it's gonna go down in flamesYou can tell me when it's over, mmIf the high was worth the painGot a long list of ex-loversThey'll tell you I'm insane'Cause you know I love the playersAnd you love the game'Cause we're young and we're recklessWe'll take this way too farIt'll leave you breathless, hmmOr with a nasty scarGot a long list of ex-loversThey'll tell you I'm insaneBut I've got a blank space, babyAnd I'll write your name Boys only want love if it's tortureDon't say I didn't, say I didn't warn yaBoys only want love if it's tortureDon't say I didn't, say I didn't warn yaSo it's gonna be foreverOr it's gonna go down in flamesYou can tell me when it's over, mmIf the high was worth the painGot a long list of ex-loversThey'll tell you I'm insane'Cause you know I love the playersAnd you love the game'Cause we're young and we're recklessWe'll take this way too farIt'll leave you breathless, hmmOr with a nasty scarGot a long list of ex-loversThey'll tell you I'm insaneBut I've got a blank space, babyAnd I'll write your name",https://www.genius.com/Taylor-Swift-Blank-Space-lyrics
1,2,2015-01-03,Take Me To Church,Hozier,,2,19,https://www.billboard.com/charts/hot-100/2015-01-03,"My lover's got humorShe's the giggle at a funeralKnows everybody's disapprovalI should've worshipped her soonerIf the heavens ever did speakShe's the last true mouthpieceEvery Sunday's getting more bleakA fresh poison each week""We were born sick""You heard them say itMy church offers no absolutesShe tells me ""Worship in the bedroom""The only Heaven I'll be sent toIs when I'm alone with youI was born sick, but I love itCommand me to be wellAaa, Amen, Amen, AmenTake me to churchI'll worship like a dog at the shrine of your liesI'll tell you my sins and you can sharpen your knifeOffer me that deathless deathGood God, let me give you my lifeTake me to churchI'll worship like a dog at the shrine of your liesI'll tell you my sins and you can sharpen your knifeOffer me that deathless deathGood God, let me give you my lifeIf I'm a pagan of the good timesMy lover's the sunlightTo keep the goddess on my sideShe demands a sacrificeDrain the whole seaGet something shinySomething meaty for the main courseThat's a fine looking high horseWhat you got in the stable?We've a lot of starving faithfulThat looks tastyThat looks plentyThis is hungry work Take me to churchI'll worship like a dog at the shrine of your liesI'll tell you my sins so you can sharpen your knifeOffer me my deathless deathGood God, let me give you my lifeTake me to churchI'll worship like a dog at the shrine of your liesI'll tell you my sins so you can sharpen your knifeOffer me my deathless deathGood God, let me give you my lifeNo masters or kings when the ritual beginsThere is no sweeter innocence than our gentle sinIn the madness and soil of that sad earthly sceneOnly then I am humanOnly then I am cleanOh, oh Amen, Amen, AmenTake me to churchI'll worship like a dog at the shrine of your liesI'll tell you my sins and you can sharpen your knifeOffer me that deathless deathGood God, let me give you my lifeTake me to churchI'll worship like a dog at the shrine of your liesI'll tell you my sins and you can sharpen your knifeOffer me that deathless deathGood God, let me give you my life",https://www.genius.com/Hozier-Take-Me-To-Church-lyrics
2,3,2015-01-03,Uptown Funk!,Mark Ronson,['Bruno Mars'],3,6,https://www.billboard.com/charts/hot-100/2015-01-03,"DohDoh-doh-doh, doh-doh-doh, doh-dohDoh-doh-doh, doh-doh-doh, doh-dohDoh-doh-doh, doh-doh-doh, doh-dohDoh-doh-doh, doh-doh (Aw, ow)This hit, that ice coldMichelle Pfeiffer, that white goldThis one for them hood girlsThem good girls, straight masterpiecesStylin', wilin', livin' it up in the cityGot Chucks on with Saint LaurentGotta kiss myself, I'm so prettyI'm too hot (Hot damn)(Doh)Uh, call the police and the fireman(Doh-doh-doh, doh-doh-doh, doh-doh)I'm too hot (Hot damn)(Doh-doh-doh, doh-doh-doh, doh-doh)Make a dragon wanna retire, manI'm too hot (Hot damn)(Doh-doh-doh, doh-doh-doh, doh-doh)Say my name, you know who I amI'm too hot (Hot damn)(Doh-doh-doh, doh-doh, doh, doh)And my band 'bout that money, break it downGirls hit your hallelujah (Woo)Girls hit your hallelujah (Woo)Girls hit your hallelujah (Woo)'Cause uptown funk gon' give it to you (Woo)('Cause uptown funk gon' give it to you)'Cause uptown funk gon' give it to youSaturday night and we in the spotDon't believe me, just watch, come onDohDoh-doh-doh, doh-doh-doh, doh-doh (Ya)(Doh-doh-doh, doh-doh-doh, doh-doh)Don't believe me, just watch, uhDoh-doh-doh, doh-doh-doh, doh-doh (Ya)(Doh-doh-doh, doh-doh–)Don't believe me, just watch, uhDon't believe me, just watch, uhDon't believe me, just watchDon't believe me, just watchHey, hey, hey, oh Stop, wait a minuteFill my cup, put some liquor in itTake a sip, sign the checkJulio, get the stretchRide to Harlem, Hollywood, Jackson, MississippiIf we show up, we gon' show outSmoother than a fresh jar o' SkippyI'm too hot (Hot damn)(Doh)Call the police and the fireman(Doh-doh-doh, doh-doh-doh, doh-doh)I'm too hot (Hot damn)(Doh-doh-doh, doh-doh-doh, doh-doh)Make a dragon wanna retire, manI'm too hot (Too hot, hot damn, hot damn)(Doh-doh-doh, doh-doh-doh, doh-doh)Bitch, say my name, you know who I amI'm too hot (Hot damn)(Doh-doh-doh, doh-doh, doh, doh)Uh, and my band 'bout that money, break it downGirls hit your hallelujah (Woo)Girls hit your hallelujah (Woo)Girls hit your hallelujah (Woo)'Cause uptown funk gon' give it to you (Woo)('Cause uptown funk gon' give it to you)'Cause uptown funk gon' give it to youSaturday night and we in the spotDon't believe me, just watch, come on DohDoh-doh-doh, doh-doh-doh, doh-doh (Ya)(Doh-doh-doh, doh-doh-doh, doh-doh)Don't believe me, just watch, uhDoh-doh-doh, doh-doh-doh, doh-doh (Ya)(Doh-doh-doh, doh-doh–)Don't believe me, just watch, uhDon't believe me, just watch, uhDon't believe me, just watchDon't believe me, just watchHey, hey, hey, oh(Doh)(Doh-doh-doh, doh-doh-doh, doh-doh)Before we leave(Doh-doh-doh, doh-doh-doh, doh-doh)Lemme tell y'all a lil' somethingUptown funk you up, uptown funk you up(Doh-doh-doh, doh-doh-doh, doh-doh)Uptown funk you up, uptown funk you up, uh(Doh-doh-doh, doh-doh-doh, doh-doh)I said, uptown funk you up, uptown funk you up, uh(Doh-doh-doh, doh-doh-doh, doh-doh)Uptown funk you up, uptown funk you up, come on(Doh-doh-doh, doh-doh, doh, doh)Dance, jump on it(Doh-doh-doh, doh-doh-doh, doh-doh)If you sexy, then flaunt itIf you freaky, then own it(Doh-doh-doh, doh-doh-doh, doh-doh)Don't brag about it, come show me, come onDance, jump on it(Doh-doh-doh, doh-doh-doh, doh-doh)If you sexy, then flaunt itWell, it's Saturday night and we in the spotDon't believe me, just watch, come onDohDoh-doh-doh, doh-doh-doh, doh-doh (Ya)(Doh-doh-doh, doh-doh-doh, doh-doh)Don't believe me, just watch, uhDoh-doh-doh, doh-doh-doh, doh-doh (Ya)(Doh-doh-doh, doh-doh–)Don't believe me, just watch, uhDon't believe me, just watch, uhDon't believe me, just watchDon't believe me, just watchHey, hey, hey, ohUptown funk you up (Woo, come on)(Doh)Uptown funk you up (Hey, say what?)(Doh-doh-doh, doh-doh-doh, doh-doh)Uptown funk you up (Hey)(Doh-doh-doh, doh)Uptown funk you up (Come on)(Doh)Uptown funk you up (Woo, come on)(Doh-doh-doh, doh-doh-doh, doh-doh)Uptown funk you up (Hey, say what?)Uptown funk you up (Hey)Uptown funk you up (Come on)(Doh)Uptown funk you up (Woo, come on)(Doh-doh-doh, doh-doh-doh, doh-doh)Uptown funk you up (Hey, say what?)Uptown funk you up (Hey)(Doh-doh-doh, doh)Uptown funk you up (Come on)(Doh)Uptown funk you up (Ah)(Doh-doh-doh, doh-doh-doh, doh-doh)Uptown funk you up (Say what?)Uptown funk you upAw, ow",https://www.genius.com/Mark-Ronson-Uptown-Funk-lyrics
3,4,2015-01-03,Thinking Out Loud,Ed Sheeran,,4,11,https://www.billboard.com/charts/hot-100/2015-01-03,"When your legs don't work like they used to beforeAnd I can't sweep you off of your feetWill your mouth still remember the taste of my love?Will your eyes still smile from your cheeks?And darling, I will be loving you till we're seventyAnd baby, my heart could still fall as hard at twenty-threeAnd I'm thinking 'bout howPeople fall in love in mysterious waysMaybe just the touch of a handWell me, I fall in love with you every single dayI just wanna tell you I amSo honey, now, take me into your loving armsKiss me under the light of a thousand starsPlace your head on my beating heart, I'm thinking out loudAnd maybe we found love right where we areWhen my hair's all but gone and my memory fadesAnd the crowds don't remember my nameWhen my hands don't play the strings the same wayI know you will still love me the same'Cause, honey, your soul could never grow old, it's evergreenAnd baby, your smile's forever in my mind and memoryAnd I'm thinking 'bout howPeople fall in love in mysterious waysAnd maybe it's all part of a planWell I'll just keep on making the same mistakesHoping that you'll understandThat, baby, now, take me into your loving armsKiss me under the light of a thousand starsPlace your head on my beating heart, I'm thinking out loudAnd maybe we found love right where we areSo baby, now, take me into your loving armsKiss me under the light of a thousand starsOh darling, place your head on my beating heart, I'm thinking out loudThat maybe we found love right where we areOh baby, we found love right where we areAnd we found love right where we are",https://www.genius.com/Ed-Sheeran-Thinking-Out-Loud-lyrics
4,5,2015-01-03,Lips Are Movin,Meghan Trainor,,4,9,https://www.billboard.com/charts/hot-100/2015-01-03,"If your lips are movin', if your lips are movin'If your lips are movin', then you're lyin', lyin', lyin', babyIf your lips are movin', if your lips are movin' (Ooh)If your lips are movin', I said you're lyin', lyin', lyin', babyBoy, look at me in my faceTell me that you’re not just about this bass (Uh)You really think I could be replaced?Nah, I come from outer spaceAnd I'm a classy girl, I'ma hold it upYou're full of somethin', but it ain't loveAnd what we got, straight overdueGo find somebody newYou can buy me diamond earrings and deny-ny-ny, ny-ny-ny, deny-nyBut I smell her on your collar, so goodbye-bye-bye, bye-bye-byeI know you're lyin' (Lyin')'Cause your lips are movin' (Movin')Tell me, do you think I'm dumb?I might be young (Young), but I ain't stupid (Stupid)Talking around in circles with your tongueI gave you bass (Bass), you gave me sweet talk (Sweet talk)Sayin' how I’m your number oneBut I know you lie (Lie)'Cause your lips are movin' (Movin')Baby, don't you know I'm done?If your lips are movin', if your lips are movin'If your lips are movin', then you're lyin', lyin', lyin', babyIf your lips are movin', if your lips are movin' (Oh)If your lips are movin', then you're lyin', lyin', lyin' (Hey)Hey baby, don't you bring them tears'Cause it's too late, too late, babe, oh (Ha)You only love me when you're hereYou're so two-faced, two-faced, babe, oh You can buy me diamond earrings and deny-ny-ny, ny-ny-ny, deny-ny (Yes you can, babe)But I smell her on your collar, so goodbye-bye-bye, bye-bye-bye(Hey)I know you're lyin' (Lyin')'Cause your lips are movin' (Movin')Tell me, do you think I'm dumb?I might be young (Young), but I ain't stupid (Stupid)Talking around in circles with your tongueI gave you bass (Bass), you gave me sweet talk (Sweet talk)Sayin' how I’m your number oneBut I know you lie (Lie)'Cause your lips are movin' (Movin)Baby, don't you know I'm done?Come on, sayIf your lips are movin' (Hey, hey), if your lips are movin' (Hey, hey)If your lips are movin', then you're lyin', lyin', lyin'If your lips are movin' (Alright now), If your lips are movin'(I wanna hear y'all sing it with me)If your lips are movin', then you're lyin', lyin', lyin' (Here we go)I know you're lyin' (Lyin')'Cause your lips are movin' (Movin')Tell me, do you think I'm dumb? (Ohh)I might be young (Young), but I ain't stupid (Stupid)Talking around in circles with your tongueI gave you bass (Bass), you gave me sweet talk (Sweet talk)Sayin' how I’m your number oneBut I know you lie (I know you lie)'Cause your lips are movin' (Your lips are movin')Baby, don't you know I'm done?",https://www.genius.com/Meghan-Trainor-Lips-Are-Movin-lyrics
5,6,2015-01-03,I'm Not The Only One,Sam Smith,,5,16,https://www.billboard.com/charts/hot-100/2015-01-03,"You and me, we made a vowFor better or for worseI can't believe you let me downBut the proof's in the way it hurtsFor months on end I've had my doubtsDenying every tearI wish this would be over nowBut I know that I still need you hereYou say I'm crazy'Cause you don't think I know what you've doneBut when you call me babyI know I'm not the only oneYou've been so unavailableNow, sadly, I know whyYour heart is unobtainableEven though Lord knows you kept mineYou say I'm crazy'Cause you don't think I know what you've doneBut when you call me babyI know I'm not the only oneI have loved you for many yearsMaybe I am just not enoughYou've made me realise my deepest fearBy lying and tearing us upYou say I'm crazy'Cause you don't think I know what you've doneBut when you call me babyI know I'm not the only oneYou say I'm crazy'Cause you don't think I know what you've doneBut when you call me babyI know I'm not the only one I know I'm not the only oneI know I'm not the only oneAnd I know, and I know, and I know, and I know, and I know, and I know, knowI know I'm not the only one",https://www.genius.com/Sam-Smith-Im-Not-The-Only-One-lyrics
6,7,2015-01-03,Love Me Harder,Ariana Grande,['The Weeknd'],7,11,https://www.billboard.com/charts/hot-100/2015-01-03,"Tell me something I need to knowThen take my breath and never let it goIf you just let me invade your spaceI’ll take the pleasure, take it with the painAnd if in the moment, I bite my lipBaby, in that moment, you’ll know this isSomething bigger than us and beyond blissGive me a reason to believe it'Cause if you want to keep meYou gotta, gotta, gotta, gottaGot to love me harderAnd if you really need meYou gotta, gotta, gotta, gottaGot to love me harder (Lo-love me harder)Ooh-ooh-ooh-oohLove me, love me, love meOoh-ooh-ooh-oohHarder, harder, harderI know your motives and you know mineThe ones that love me, I tend to leave behindIf you know about me and choose to stayThen take this pleasure and take it with the painAnd if in the moment you bite your lipWhen I get you moaning, you know it's realCan you feel the pressure between your hips?I’ll make it feel like the first time'Cause if you want to keep meYou gotta, gotta, gotta, gottaGot to love me harder (I'ma love you harder, hey!)And if you really need meYou gotta, gotta, gotta, gottaGot to love me harder (Love me, baby, love me) (Lo-love me harder)Ooh-ooh-ooh-oohLove me, love me, love meOoh-ooh-ooh-oohHarder, harder, harder (Oh)Ooh-ooh-ooh-oohLove me, love me, love meOoh-ooh-ooh-oohHarder, harder, harder (You gotta love me harder) So what do I do if I can’t figure it out? (Figure it out)You got to try, try, try again, yeah (Oh whoa)So what do I do if I can’t figure it out? (Figure it out)I’m gonna leave, leave, leave again'Cause if you want to keep me (Hey!)You gotta, gotta, gotta, gottaGot to love me harder (I'ma love you, love you, love)And if you really need me (Ooh)You gotta, gotta, gotta, gottaGot to love me harder (Got to love me, baby)'Cause if you want to keep me (Hey)You gotta, gotta, gotta, gottaGot to love me harder (Love me harder, love me harder)And if you really need meYou gotta, gotta, gotta, gotta (I'ma do it, do it, do it)Got to love me harder (I'ma love you harder, hey!)Ooh-ooh-ooh-oohLove me, love me, love me (Love me)Ooh-ooh-ooh-oohHarder, harder, harder (Boy, you gotta love me, love me, baby)Ooh-ooh-ooh-oohLove me, love me, love me (Just a little bit harder, harder, baby)Ooh-ooh-ooh-oohHarder, harder, harder",https://www.genius.com/Ariana-Grande-Love-Me-Harder-lyrics
7,8,2015-01-03,Jealous,Nick Jonas,,8,15,https://www.billboard.com/charts/hot-100/2015-01-03,"I don't like the way he's looking at youI'm starting to think you want him tooAm I crazy? Have I lost ya?Even though I know you love me, can't help itI turn my chin music upAnd I'm puffing my chestI'm getting red in the faceYou can call me obsessedIt's not your fault that they hoverI mean no disrespectIt's my right to be hellishI still get jealous'Cause you're too sexy beautifulAnd everybody wants a tasteThat's why (That's why) I still get jealous'Cause you're too sexy beautifulAnd everybody wants a tasteThat's why (That's why) I still get jealousI wish you didn't have to post it allI wish you'd save a little bit just for meProtective or possessive? GirlCall it passive or aggressive?I turn my chin music upAnd I'm puffing my chestI'm getting red in the faceYou can call me obsessedIt’s not your fault that they hoverI mean no disrespectIt's my right to be hellishI still get jealous'Cause you're too sexy beautifulAnd everybody wants a tasteThat's why (That's why) I still get jealous'Cause you're too sexy beautifulAnd everybody wants a tasteThat's why (That's why) I still get jealous (Jealous, jealous) You're the only one invited (Invited)Say there's no one else for you (For you)'Cause you know I get excited, yeahWhen you get jealous tooI turn my chin music upAnd I'm puffing my chestI'm turning red in the faceYou can call me obsessedIt's not your fault that they hoverI mean no disrespectIt's my right to be hellishI still get jealous'Cause you're too sexy beautifulAnd everybody wants a tasteThat's why (That's why, that's why) I still get jealous (I get jealous)'Cause you're too sexy beautiful (Beautiful)And everybody wants a tasteThat's why (That's why, that's why) I still get jealous(Jealous, jealous)Oh, that's why I still get jealous (Jealous, jealous)Oh, that's why I still get jealous (Jealous, jealous, jealous)",https://www.genius.com/Nick-Jonas-Jealous-lyrics
8,9,2015-01-03,Animals,Maroon 5,,3,18,https://www.billboard.com/charts/hot-100/2015-01-03,"Baby, I'm preying on you tonightHunt you down, eat you aliveJust like animals, animals, like animals-malsMaybe you think that you can hideI can smell your scent from milesJust like animals, animals, like animals-malsBaby, I'm... (Hey)So what you trying to do to me? (Hey)It's like we can't stop, we're enemies (Hey)But we get along when I'm inside you, yeah (Hey)You're like a drug that's killing me (Hey)I cut you out entirely (Hey)But I get so high when I'm inside youYeah, you can start over, you can run free (Hey)You can find other fish in the sea (Hey)You can pretend it's meant to be (Hey)But you can't stay away from meI can still hear you making that sound (Hey)Taking me down, rolling on the ground (Hey)You can pretend that it was me, but no, oh (Hey)Baby, I'm preying on you tonightHunt you down, eat you aliveJust like animals, animals, like animals-malsMaybe you think that you can hideI can smell your scent from milesJust like animals, animals, like animals-malsBaby, I'm... (Hey)So if I run, it's not enough (Hey)You're still in my head, forever stuck (Hey)So you can do what you wanna do, yeah (Hey)I love your lies, I'll eat 'em up (Hey)But don't deny the animal (Hey)That comes alive when I'm inside you Yeah, you can start over, you can run free (Hey)You can find other fish in the sea (Hey)You can pretend it's meant to beBut you can't stay away from meI can still hear you making that sound (Hey)Taking me down, rolling on the ground (Hey)You can pretend that it was me, but no, oh (Hey)Baby, I'm preying on you tonightHunt you down, eat you aliveJust like animals, animals, like animals-malsMaybe you think that you can hideI can smell your scent from milesJust like animals, animals, like animals-malsBaby, I'm...Don't tell no lie, lie, lie, lieYou can't deny-ny-ny-nyThe beast inside, si-si-sideYeah, yeah, yeahNo girl don't lie, lie, lie, lie (No, no, don't lie)You can't deny-ny-ny-ny (You can't deny)The beast inside, si-si-sideYeah, yeah, yeah, yo-oh, oh, oh, oh, oh, oh, ohJust like animals, animals, like animals-mals (Hey, hey)Just like animals, animals, like animals-mals, oww!(Yeah, yeah, yeah) Baby, I'm preying on you tonightHunt you down, eat you aliveJust like animals, animals, like animals-malsMaybe you think that you can hideI can smell your scent from milesJust like animals, animals, like animals-malsBaby, I'm...Don't tell no lie, lie, lie, lieYou can't deny-ny-ny-nyThe beast inside, si-si-sideYeah, yeah, yeahNo girl don't lie, lie, lie, lie (No, no, don't lie)You can't deny-ny-ny-ny (You can't deny)The beast inside, si-si-sideYeah, yeah, yeah",https://www.genius.com/Maroon-5-Animals-lyrics
9,10,2015-01-03,All About That Bass,Meghan Trainor,,1,24,https://www.billboard.com/charts/hot-100/2015-01-03,"Because you know I'm all about that bass'Bout that bass, no trebleI'm all 'bout that bass, 'bout that bass, no trebleI'm all 'bout that bass, 'bout that bass, no trebleI'm all 'bout that bass, 'bout that bassYeah, it's pretty clear, I ain't no size twoBut I can shake it, shake it, like I'm supposed to do'Cause I got that boom boom that all the boys chaseAnd all the right junk in all the right placesI see the magazines working that PhotoshopWe know that shit ain't real, come on now, make it stopIf you got beauty beauty just raise 'em up'Cause every inch of you is perfect from the bottom to the topYeah, my momma she told me don't worry about your sizeShe says, boys like a little more booty to hold at night(That booty, booty, uh, that booty booty)You know I won't be no stick-figure, silicone Barbie dollSo, if that's what's you're into then go ahead and move alongBecause you know I'm all about that bass'Bout that bass, no trebleI'm all 'bout that bass, 'bout that bass, no trebleI'm all 'bout that bass, 'bout that bass, no trebleI'm all 'bout that bass, 'bout that bassHey, I'm bringing booty backGo ahead and tell them skinny bitches thatNo, I'm just playing I know you think you're fatBut I'm here to tell youEvery inch of you is perfect from the bottom to the topYeah, my momma she told me don't worry about your sizeShe says, boys like a little more booty to hold at night(That booty, booty, uh, that booty booty)You know I won't be no stick-figure, silicone Barbie dollSo, if that's what's you're into then go ahead and move along Because you know I'm all about that bass'Bout that bass, no trebleI'm all 'bout that bass, 'bout that bass, no trebleI'm all 'bout that bass, 'bout that bass, no trebleI'm all 'bout that bass, 'bout that bassBecause you know I'm all about that bass'Bout that bass, no trebleI'm all 'bout that bass, 'bout that bass, no trebleI'm all 'bout that bass, 'bout that bass, no trebleI'm all 'bout that bass, 'bout that bassBecause you know I'm all about that bass'Bout that bass, no trebleI'm all 'bout that bass, 'bout that bass, no trebleI'm all 'bout that bass, 'bout that bass, no trebleI'm all 'bout that bass, 'bout that bass",https://www.genius.com/Meghan-Trainor-All-About-That-Bass-lyrics
10,11,2015-01-03,Shake It Off,Taylor Swift,,1,18,https://www.billboard.com/charts/hot-100/2015-01-03,"I stay out too lateGot nothing in my brainThat's what people say, mmm-mmmThat's what people say, mmm-mmmI go on too many datesBut I can't make them stayAt least that's what people say, mmm-mmmThat's what people say, mmm-mmmBut I keep cruisin'Can't stop, won't stop movin'It's like I got this music in my mindSayin', ""It's gonna be alright""'Cause the players gonna play, play, play, play, playAnd the haters gonna hate, hate, hate, hate, hateBaby, I'm just gonna shake, shake, shake, shake, shakeI shake it off, I shake it offHeartbreakers gonna break, break, break, break, breakAnd the fakers gonna fake, fake, fake, fake, fakeBaby, I'm just gonna shake, shake, shake, shake, shakeI shake it off, I shake it offI never miss a beatI'm lightnin' on my feetAnd that's what they don't see, mmm-mmmThat's what they don't see, mmm-mmmI'm dancin' on my own (Dancin' on my own)I make the moves up as I go (Moves up as I go)And that's what they don't know, mmm-mmmThat's what they don't know, mmm-mmmBut I keep cruisin'Can't stop, won't stop groovin'It's like I got this music in my mindSayin', ""It's gonna be alright"" 'Cause the players gonna play, play, play, play, playAnd the haters gonna hate, hate, hate, hate, hateBaby, I'm just gonna shake, shake, shake, shake, shakeI shake it off, I shake it offHeartbreakers gonna break, break, break, break, breakAnd the fakers gonna fake, fake, fake, fake, fakeBaby, I'm just gonna shake, shake, shake, shake, shakeI shake it off, I shake it offShake it off, I shake it offI, I, I shake it off, I shake it offI, I, I shake it off, I shake it offI, I, I shake it off, I shake it offHey, hey, heyJust think, while you've been gettin' down and out about the liarsAnd the dirty, dirty cheats of the worldYou could've been gettin' downTo this sick beatMy ex-man brought his new girlfriendShe's like, ""Oh my God!"" But I'm just gonna shakeAnd to the fella over there with the hella good hairWon't you come on over, baby?We can shake, shake, shakeYeah, oh, oh, oh 'Cause the players gonna play, play, play, play, playAnd the haters gonna hate, hate, hate, hate, hate(Haters gonna hate)Baby, I'm just gonna shake, shake, shake, shake, shakeI shake it off, I shake it off (Ha!)Heartbreakers gonna break, break, break, break, break (Mmm)And the fakers gonna fake, fake, fake, fake, fake(And fake, and fake, and fake)Baby, I'm just gonna shake, shake, shake, shake, shakeI shake it off, I shake it off (I, I, I)Shake it off, I shake it offI, I, I shake it off, I shake it offI, I, I shake it off, I shake it offI, I, I shake it off, I shake it offShake it off, I shake it offI, I, I shake it off, I shake it offI, I, I shake it off, I shake it offI, I, I shake it off, I shake it off (Yeah!)Shake it off, I shake it offI, I, I shake it off, I shake it off (You got to)I, I, I shake it off, I shake it offI, I, I shake it off, I shake it off",https://www.genius.com/Taylor-Swift-Shake-It-Off-lyrics
