,level_0,index,rank,date,title,artist1,artist2,peak_pos,wks_chart,b_url,lyrics,g_url
0,0,0,1,2000-01-01,Smooth,Santana,['Rob Thomas'],1,23,https://www.billboard.com/charts/hot-100/2000-01-01,"Man, it's a hot oneLike seven inches from the midday sunI hear you whisper and the words melt everyoneBut you stay so coolMy muñequita, my Spanish Harlem Mona LisaYou're my reason for reason, the step in my grooveAnd if you say this life ain't good enoughI would give my world to lift you upI could change my life to better suit your moodBecause you're so smoothAnd it's just like the ocean under the moonIt's the same as the emotion that I get from youYou got the kind of loving that can be so smoothGimme your heart, make it real, or else forget about itI'll tell you one thingIf you would leave it would be a crying shameIn every breath and every wordI hear your name calling me outOut from the barrio, you hear my rhythm on the radioYou feel the turning of the world so soft and slow, turnin' you round and roundAnd if you said, ""This life ain't good enough""I'd give my world to lift you upI could change my life to better suit your moodBecause you're so smooth, andOh, and it's just like the ocean under the moonIt's the same as the emotion that I get from youYou got the kind of loving that can be so smooth, yeahGimme your heart, make it real, or else forget about it, yeahAnd it's just like the ocean under the moonIt's the same as the emotion that I get from youYou got the kind of loving that can be so smooth, yeahGimme your heart, make it real, or else forget about it, damn Or else forget about itOh, or else forget about itOh, let's don't forget about it(Gimme your heart, make it real) Let's don't forget about it, heyLet's don't forget about it, no, oh, no, ohLet's don't forget about it, no, no, no, ohLet's don't forget about it, hey, no, no, ohLet's don't forget about it, hey, hey, hey",https://www.genius.com/Santana-Smooth-lyrics
1,1,1,2,2000-01-01,Back At One,Brian McKnight,,2,19,https://www.billboard.com/charts/hot-100/2000-01-01,"It's undeniableThat we should be togetherIt's unbelievable how I used to say that I'd fall neverThe basis is need to know, if you don't know just how I feelThen let me show you now that I'm for realIf all things in time, time will revealYeahOne, you're like a dream come trueTwo, just wanna be with youThree, girl, it's plain to seeThat you're the only one for me, andFour, repeat steps one through threeFive, make you fall in love with meIf ever I believe my work is doneThen I start back at oneYeah, yeahIt's so incredible the way things work themselves outAnd all emotional, once you know what it's all about, babeAnd undesirable for us to be apartNever would've made it very far'Cause you know you've got the keys to my heart'Cause...One, you're like a dream come trueTwo, just wanna be with youThree, girl, it's plain to seeThat you're the only one for me, andFour, repeat steps one through threeFive, make you fall in love with meIf ever I believe my work is doneThen I start back at oneSay farewell to the dark of night, I see the coming of the sunI feel like a little child whose life has just begunYou came and breathed new life into this lonely heart of mineYou threw out the lifeline just in the nick of timeOne, you're like a dream come trueTwo, just wanna be with youThree, girl, it's plain to seeThat you're the only one for me, andFour, repeat steps one through threeFive, make you fall in love with meIf ever I believe my work is doneThen I start back at one",https://www.genius.com/Brian-McKnight-Back-At-One-lyrics
2,2,2,3,2000-01-01,I Wanna Love You Forever,Jessica Simpson,,3,12,https://www.billboard.com/charts/hot-100/2000-01-01,"Ooh, ooh, mmmYou set my soul at easeChased darkness out of viewLeft your desperate spell on meSay you feel it tooI know you doI've got so much more to giveThis can't die, I yearn to livePour yourself all over meAnd I'll cherish every drop here on my kneesI wanna love you foreverAnd this is all I'm asking of youTen thousand lifetimes togetherIs that so much for you to do?'Cause from the moment that I saw your faceAnd felt the fire in your sweet embraceI swear I knewI'm gonna love you forever, oh-ohMy mind fails to understandWhat my heart tells me to doAnd I'd give up all I have just to be with youAnd that would doI've always been taught to winAnd I never thought I'd fallBe at the mercy of a manI've never beenNow I only want to be right where you areI wanna love you forever (I wanna love you forever)And this is all I'm asking of youTen thousand lifetimes together (Oh-oh, together)Is that so much for you to do?'Cause from the moment that I saw your faceAnd felt the fire in your sweet embraceI swear I knew (I swear)I'm gonna love you foreverWhoa, oh-ohIn my life, I've learned that heaven never waits, noLet's take this now before it's gone like yesterday, no'Cause when I'm with you, there's nowhere elseThat I would ever wanna be, noI'm breathing for the next second I can feel you loving meI'm gonna love I wanna lover you foreverOh, and this is all I'm asking of youTen thousand lifetimes together (My love)Is that so much for you to do?'Cause from the moment that I saw your faceAnd felt the fire in your sweet embraceI swear I knew (Oh)I'm gonna love you foreverForever, ohI wanna love you foreverEvery day, every dayTen thousand lifetimes togetherIs that so much for you to do?",https://www.genius.com/Jessica-Simpson-I-Wanna-Love-You-Forever-lyrics
3,3,3,4,2000-01-01,My Love Is Your Love,Whitney Houston,,4,18,https://www.billboard.com/charts/hot-100/2000-01-01,"Clap your hands, y'allIt's alright (Turn me up, turn me up, turn me up)Clap your hands, y'allIt's alrightClap your hands, y'allIt's alrightClap your hands, y'allIt's alrightIf tomorrow is Judgement Day (Sing mommy)And I'm standing on the front lineAnd the Lord ask me what I did with my lifeI will say I spent it with youClap your hands, y'allIt's alright (It's alright)Clap your hands, y'allIt's alrightIf I wake up in World War 3 (World War 3)I see destruction and povertyAnd I feel like I wanna go homeIt's okay if you're comin' with meClap your hands, y'allIt's alright (It's alright)Clap your hands, y'allIt's alright'Cause your love is my loveAnd my love is your loveIt would take an eternity to break usAnd the chains of Amistad couldn't hold us'Cause your love is my loveAnd my love is your loveIt would take an eternity to break usAnd the chains of Amistad couldn't hold usClap your hands, y'allIt's alrightClap your hands, y'allIt's alrightClap your hands, y'allIt's alright If I lose my fame and fortuneAnd I'm homeless on the street (On the street, oh Lord)And I'm sleepin' in Grand Central Station (Ooh, okay)It's okay if you're sleepin' with meClap your hands, y'allIt's alrightClap your hands, y'allIt's alrightAs the years, they pass us by (The years, the years, the years)We stay young through each other's eyes (Each other's eyes)And no matter how old we get, ohIt's okay as long as I got you, babeClap your hands, y'allIt's alrightClap your hands, y'allIt's alright'Cause your love is my loveAnd my love is your loveIt would take an eternity to break usAnd the chains of Amistad couldn't hold us'Cause your love is my loveAnd my love is your loveIt would take an eternity to break usAnd the chains of Amistad couldn't hold us If I should die this very day (Very, very day)Don't cry, 'cause on Earth, we weren't meant to stayAnd no matter what people say (Really don't matter)I'll be waiting for you after Judgement Day'Cause your love is my loveAnd my love is your loveIt would take an eternity to break usAnd the chains of Amistad couldn't hold us'Cause your love is my loveAnd my love is your loveIt would take an eternity to break usAnd the chains of Amistad couldn't hold us'Cause your love is my loveAnd my love is your loveIt would take an eternity to break usAnd the chains of Amistad couldn't hold usClap your hands, y'allIt's alrightClap your handsClap your hands, y'allIt's alrightClap your hands, y'allIt's alrightClap your hands, y'allIt's alright",https://www.genius.com/Whitney-Houston-My-Love-Is-Your-Love-lyrics
4,4,4,5,2000-01-01,I Knew I Loved You,Savage Garden,,4,11,https://www.billboard.com/charts/hot-100/2000-01-01,"MmmOoh, ohMaybe it's intuitionBut some things you just don't questionLike in your eyes, I see my future in an instantAnd there it goes, I think I've found my best friendI know that it might sound more than a littleCrazy, but I believe...I knew I loved you before I met youI think I dreamed you into lifeI knew I loved you before I met youI have been waiting all my lifeThere's just no rhyme or reasonOnly this sense of completionAnd in your eyes, I see the missing pieces (I'm searching for)I think I found my way homeI know that it might sound more than a littleCrazy, but I believe...I knew I loved you before I met youI think I dreamed you into lifeI knew I loved you before I met youI have been waiting all my lifeOoh, ooh-oohOh, oh-oh, ohA thousand angels dance around youOoh, ooh-oohOh, oh-oh, ohI am complete now that I've found youI knew I loved you before I met youI think I dreamed you into lifeI knew I loved you before I met youI have been waiting all my lifeI knew I loved you before I met youI think I dreamed you into my lifeI knew I loved you before I met youI have been waiting all my life I knew I loved you before I met you (Ooh, ooh-ooh, ooh)I knew I loved youI knew I loved you before I met you (Ooh, ooh-ooh, ooh)I knew I loved youI knew I loved you before I met you (Oh, oh, oh, oh, oh, oh)I knew I loved you before I met you (Yeah, yeah, oh)I knew I loved you",https://www.genius.com/Savage-Garden-I-Knew-I-Loved-You-lyrics
5,5,5,6,2000-01-01,I Need To Know,Marc Anthony,,3,17,https://www.billboard.com/charts/hot-100/2000-01-01,"They say around the way you've asked for meThere's even talk about you wanting meI must admit that's what I wanna hearBut that's just talk until you take me thereIf it's true, don't leave me all alone out hereWondering if you're ever gonna take me thereTell me what you're feeling because I need to knowGirl, you gotta let me know which way to goBecause I need to know, I need to knowTell me, baby girl, cause I need to knowI need to know, I need to knowTell me, baby girl, cause I need to knowMy every thought is of this being trueIt's getting harder not to think of youGirl, I'm exactly where I wanna beThe only thing's I need you here with meIf it's true, don't leave me all alone out hereWondering if you're ever gonna take me thereTell me what you're feeling because I need to knowGirl, you gotta let me know which way to goCause I need to know, I need to knowTell me, baby girl, cause I need to knowI need to know, I need to knowTell me, baby girl, cause I need to knowIf it's true, don't leave me all alone out hereWondering if you're ever gonna take me thereTell me what you're feeling because I need to knowGirl, you gotta let me know which way to goCause I need to know, I need to knowTell me, baby girl, cause I need to knowI need to know, I need to knowTell me, baby girl, cause I need to know If it's true, don't leave me all alone out hereWondering if you're ever gonna take me thereTell me what you're feeling because I need to knowGirl, you gotta let me know which way to go'Cause I need to know, I need to knowTell me, baby girl, cause I need to knowI need to know, I need to knowTell me, baby girl, cause I need to know",https://www.genius.com/Marc-Anthony-I-Need-To-Know-lyrics
6,6,6,7,2000-01-01,Hot Boyz,"Missy ""Misdemeanor"" Elliott","['NAS', 'EVE', 'Q-Tip']",7,6,https://www.billboard.com/charts/hot-100/2000-01-01,"This is for my ghetto motherfuckersUh hey, are you really a hot boy?(Hot boy)Oh, check me (hot boy)What's your name? 'Cause I'm impressedCan you treat me good? I won't settle for lessYou a hot boy, a rock boyA fun toy, tote a Glock boyWhere you live? Is it by yourself?Can I move wit' you? Do you need some help?I cook, boy, I'll give you moreI'm a fly girl, and I like thoseHot boysBaby, you got what I wantSee, 'cause y'all be drivin' Lexus jeepsAnd the Benz jeeps and the Lincoln jeepsNothin' cheaper, got them Platinum Visa'sHot boysBaby, you got what I wantSee, 'cause y'all be drivin' JaguarsAnd the Bentley's and the Rolls RoycePlayin' hardballs wit' them Platinum Visa'sIs that your car, the XK8?Are you ridin' alone, can I be your date?Come get me, get meDon't diss me, don't trick meGot some friends, can they come too?Can you hook them up wit' some boys like you?A hot boy, a rock boy, on top boyAnd I like thoseHot boysBaby, you got what I wantSee, 'cause y'all be drivin' Lexus jeepsAnd the Benz jeeps and the Lincoln jeepsNothin' cheaper, got them Platinum Visa'sHot boysBaby, you got what I wantSee, 'cause y'all be drivin' JaguarsAnd the Bentley's and the Rolls RoycePlayin' hardballs wit' them Platinum Visa's Yo, I'mma dig in yo' pocketsDig in yo' walletsIs there money unfounded?Yeah, you got my heart poundin'You a hot boy, drive a drop boyWith alot boy, and you tote a Glock boyGive me no reason, I know that you treatin'These diamonds I'm needin', make you believe itI want a lot, boy, with a hot boyGot a fun toy and you tote a Glock boyHot boyBaby, you got what I wantWon't you really come and satisfy meI be lovin' you like endlessly (everyday, all day)Hot boyBaby you got what I wantWon't you really come and satisfy meI be lovin' you like endlessly (oh, yes I will)Where the Lexus jeeps, and the Benz jeepsAnd the Lincoln jeeps, and the Bentley'sAnd the Jaguars, and the fly cars, uh uh, uh uh?Where you at? Uh uh, yeah yeahWhere your Lexus jeeps, and the Benz jeepsAnd the Lincoln jeeps, and the Bentley'sAnd the Jaguars, and the fly cars, uh uhWhere you at? Uh uh.. Yeah, yeah, yeah yeahHot boys, hot boys (I'm out)Hot boys, I like 'em like that",https://www.genius.com/Missy-Misdemeanor-Elliott-Hot-Boyz-lyrics
7,7,7,8,2000-01-01,U Know What's Up,Donell Jones,,7,15,https://www.billboard.com/charts/hot-100/2000-01-01,"Ooh say what, say what, say whatOoh girl, you know what's upOoh say what, say what, say whatOoh girl, you know what's upMe and my niggas be rollingScheming on you and your homiesThe very first day of summerAll chromed out in a hummer babeHit the park and parlayHope that you walk this wayDo you and your girls wanna ridePlay all day, puff on the laOoh say what, say what, say whatYou know that I like it babyOoh girl, you know what's upAnd you know what I needOoh say what, say what, say whatYou know that i'm bout it babyOoh girl, you know what's upI'm digging you, I'm feeling youAnd you know what's upSaid I'm diggin' you and I'm wanting youSo tell me what's upPeep her thighs and I'm zoningRight around two in the morningLooking fly with the sun dress onI think I feel a bone coming onGirl you got me wide openWaitin' all day and I'm hopingSo baby don't frontBackseat Jeep, you know what I wantOoh say what, say what, say whatYou know that I like it babyOoh girl, you know what's upAnd you know what I needOoh say what, say what, say whatYou know that i'm bout it babyOoh girl, you know what's up I'm digging you, I'm feeling youAnd you know what's upSaid I'm diggin' you and I'm wanting youSo tell me what's upDigging you, you got me, wanting youOoh say what, say what, say whatYou know that I like it babyOoh girl, you know what's upAnd you know what I needOoh say what, say what, say whatYou know that i'm bout it babyOoh girl, you know what's up(Till fade)I'm digging you, I'm feeling youAnd you know what's upSaid I'm big on you and I'm wanting youSo tell me what's up",https://www.genius.com/Donell-Jones-U-Know-Whats-Up-lyrics
8,8,8,9,2000-01-01,Bring It All To Me,Blaque,,9,11,https://www.billboard.com/charts/hot-100/2000-01-01,"There you areLooking as fine as can beIn your fancy carI can see you looking at meWhat you wanna do?Are you just gonna sit there and stare?Baby, talk to meTell me what's on your mindBaby, ohOh, babyBring it all to me (Bring it all)But I don't need no fancy cars or diamond rings(Baby I don't need, no)Oh, babyBring it all to me (Bring it all)Gimme your time, your love, your space, your energy (Hoh-no)Baby, what's the deal?Would I be too forward ifI told you how I feelThat's just the way I do my thingI'm so for realAre you feeling my Timb's, my baggy jeans?My thug appeal?Do you like it when a man can keep it real?OhOh, babyBring it all to me (bring it all, bring it all)But I don't need no fancy cars or diamond rings (diamond rings)Oh, babyBring it all to me (oh)Gimme your time, your love, your space, your energy (oh baby)Oh, I'll put my pride to the sideJust to tell you how goodYou make me feel insideThere's not a single questionThat we can't make this rightCause it's you I needEvery day and nightOh baby Oh, babyBring it all to me (bring it all, bring it all/yeah yeah)But I don't need no fancy cars or diamond rings (no I don't)Oh, babyBring it all to me (bring it all/ooh oh)Gimme your time, your love, your space, your energy (oh/ooh)Oh, babyBring it all to me (yeah)But I don't need no fancy cars or diamond rings (oh)Oh, babyBring it all to me (bring it all, bring it all)Gimme your time, your love, your space, your energy (oh woah)Oh, babyBring it all to me (bring it all)But I don't need no fancy cars or diamond rings (ooh)Oh, babyBring it all to me (oh baby)Gimme your time, your love, your space, your energy (bring it all)Oh, babyBring it all to me (oh)But I don't need no fancy cars or diamond rings (diamond rings baby)Oh, babyBring it all to me (yeah)Gimme your time, your love, your space, your energy (oh)",https://www.genius.com/Blaque-Bring-It-All-To-Me-lyrics
9,9,9,10,2000-01-01,Girl On TV,LFO,,10,7,https://www.billboard.com/charts/hot-100/2000-01-01,"Ooh, yeah yeah, I'm wishin' on a fallin' starWonderin' where you are, I wishWish for you on a falling star, wondering where you areDo I ever cross your mind in the warm sunshine?She's from the City of Angels like Betty Davis, James Dean, and GableNever know what she means to me, I fell for the girl that's on TVMet her at a counter affairShe wore a green dress and everybody was thereFelt out of placeTill she looked into my eyesShook your hand around 9 p.mAnd I'm never gonna be the same againNever had to be on a movie screenTo be the leading lady in all my dreamsShooby-doo-wop and Scooby Snacks, met a fly girl and I can't relaxThe only problem is she's a movie star, ohMy friends, they won't believe me if they could only see meAt the risk of soundin' cheesy, I think I fell for the girl on TVWish for you on a falling star, wondering where you areDo I ever cross your mind in the warm sunshine?She's from the City of Angels like Betty Davis, James Dean, and GableNever know what she means to me, I fell for the girl that's on TVEverybody knows her nameThey wanna take a picture and they're glad she cameBut I just wanna be there when she's down, down(Be there when she's down)I don't want her autographI just wanna call her up and make her laughNever had to be on a movie screenTo be the leading lady in all my dreamsShooby doo-wap and Scooby Snacks, I met a fly girl and I can't relaxThe only problem is she's a movie star, ohMy friends, they won't believe me if they could only see meAt the risk of soundin' cheezy, I think, I fell for the girl on TVWish for you on a falling star, wondering where you areDo I ever cross your mind in the warm sunshine?She's from the City of Angels like Betty Davis, James Dean and GableNever know what she means to me, I fell for the girl that's on TV (Wish for you on a falling star)I'm wishing on a star and I'm wonderin' where you are(Wondering where you are)Do I cross your mind in the warm sunshine?Yeah, so I wish for you on a bright shining starEvery where I look, there you are, there you areIt's the girl in the green dress, she took my breath awayAnd now I look to the sky for a better dayTo the beach shore and Scooby SnacksI met a fly girl and I can't relaxNever had to be on a movie screenCause she's the leading lady in all my dreams, come onWish you on a falling star, wondering where you areDo I ever cross your mind in the warm sunshine?She's from the City of Angels like Betty Davis, James Dean and GableNever know what she means to me, I fell for the girl that's on TVWish for you on a fallin' star, wonderin' where you areDo I ever cross your mind in the warm sunshine?She's from the City of Angels like Betty Davis, James Dean and GableNever know what she means to me, I fell for the girl that's on TVOn TV, I wishin', I wishin' away",https://www.genius.com/LFO-Girl-On-TV-lyrics
